GOIDINGER W. DIPL.-ING. BETONWAREN GESMBH ,,Hinterfeldweg 10 ,6511 Zams ,,T. +43 5442 6908 ,F. +43 5442 6908-609 ,info-bau@goidinger.at ,www.goidinger.at 
BAU- KAMINERZEUGUNGS - HANDELSGMBH ,,,Wolfernstraße 17 ,4400 Steyr ,T. +43 7252 77711-0 ,F. +43 7252 77711-25 ,,UND 
LANG HANS ING. GESMBH BETON - UND BAUSTOFFWERKE MABA TRACK SOLUTIONS GMBH ,,,Postfach 154 ,2700 Wiener Neustadt ,T. +43 57715 460-145 ,F. +43 57715 470-474 ,office@mabatrack.com ,
OBERNDORFER FRANZ GMBH & CO. ,Lambacherstr. 14 ,4623 Gunskirchen ,,,T. +43 7246 7272-0 ,F. +43 7246 8962 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,St. Pöltner Str. 117 ,3130 Herzogenburg ,,,T. +43 2782 82514 ,F. +43 2782 82514-16 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Richtstraße 44 ,9500 Villach ,,,T. +43 4242 30 27 ,F. +43 4242 3027-75 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Klagenfurter Straße 44 ,9100 Völkermarkt ,,,T. +43 4232 3800 ,F. +43 4232 3800-14 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Römerstraße 49 ,2752 Wöllersdorf ,,,T. +43 2622 42250 ,F. +43 2622 42250-15 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Wiener Straße 662 ,3571 Gars am Kamp ,,,T. +43 2985 30922 ,F. +43 2985 30922-802 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Hainfeld 57 ,8263 Großwilfersdorf ,,,T. +43 3385 8877 ,F. +43 3385 88 77-2414 ,,www.oberndorfer.at 
BENISCH & SOHN BETONWERK ,5072 Salzburg-Siezenheim ,,,,T. +43 662 850712 ,,,
BETONWERK KOCH GESELLSCHAFT M.B.H. ,,Marzer Straße 5 ,,7210 Mattersburg ,,,office@koch-beton.at ,
BG - GRASPOINTER GMBH & CO. ENTWÄSSERUNGSSYSTEME ,,Gessenschwandt 39 ,,4882 Oberwang ,,,office@graspointner.at ,
BWO BETONSTEINWERK OBERLAND GESMBH ,,Fabrikstraße 46 ,,6460 Imst ,,,C. BERGMANN BETONWERK ,
EBENSEER BETONWERKE GESMBH & CO. KG ,,Bahnhofstraße 7 ,,3454 Sitzenberg-Reidling ,,,reidling@ebenseer.at ,
EBENSEER BETONWERKE GESMBH & CO. KG ,,Quergasse 26 ,,8720 Knittelfeld ,,,knittelfeld@ebenseer.at ,
KG EBENSEER BETONWERKE GESMBH & CO. KG ,,,,An der Brünner Straße 136 ,E +43 50 8108-738 ,,,
EBENSEER BETONWERKE GESMBH & CO. KG ,,Untersbergstraße 52 ,,4820 Bad Ischl ,,,office@ebenseer.at ,
