GOIDINGER W. DIPL.-ING. BETONWAREN GESMBH ,,Hinterfeldweg 10 ,6511 Zams ,,T. +43 5442 6908 ,F. +43 5442 6908-609 ,info-bau@goidinger.at ,www.goidinger.at 
BAU- KAMINERZEUGUNGS - HANDELSGMBH ,,,Wolfernstraße 17 ,4400 Steyr ,T. +43 7252 77711-0 ,F. +43 7252 77711-25 ,,UND 
LANG HANS ING. GESMBH BETON - UND BAUSTOFFWERKE MABA TRACK SOLUTIONS GMBH ,,,Postfach 154 ,2700 Wiener Neustadt ,T. +43 57715 460-145 ,F. +43 57715 470-474 ,office@mabatrack.com ,
OBERNDORFER FRANZ GMBH & CO. ,Lambacherstr. 14 ,4623 Gunskirchen ,,,T. +43 7246 7272-0 ,F. +43 7246 8962 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,St. Pöltner Str. 117 ,3130 Herzogenburg ,,,T. +43 2782 82514 ,F. +43 2782 82514-16 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Richtstraße 44 ,9500 Villach ,,,T. +43 4242 30 27 ,F. +43 4242 3027-75 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Klagenfurter Straße 44 ,9100 Völkermarkt ,,,T. +43 4232 3800 ,F. +43 4232 3800-14 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Römerstraße 49 ,2752 Wöllersdorf ,,,T. +43 2622 42250 ,F. +43 2622 42250-15 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Wiener Straße 662 ,3571 Gars am Kamp ,,,T. +43 2985 30922 ,F. +43 2985 30922-802 ,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Hainfeld 57 ,8263 Großwilfersdorf ,,,T. +43 3385 8877 ,F. +43 3385 88 77-2414 ,,www.oberndorfer.at 
BENISCH & SOHN BETONWERK ,5072 Salzburg-Siezenheim ,,,,T. +43 662 850712 ,,,
BETONWERK KOCH GESELLSCHAFT M.B.H. ,,Marzer Straße 5 ,,7210 Mattersburg ,,,office@koch-beton.at ,
BG - GRASPOINTER GMBH & CO. ENTWÄSSERUNGSSYSTEME ,,Gessenschwandt 39 ,,4882 Oberwang ,,,office@graspointner.at ,
BWO BETONSTEINWERK OBERLAND GESMBH ,,Fabrikstraße 46 ,,6460 Imst ,,,C. BERGMANN BETONWERK ,
EBENSEER BETONWERKE GESMBH & CO. KG ,,Bahnhofstraße 7 ,,3454 Sitzenberg-Reidling ,,,reidling@ebenseer.at ,
EBENSEER BETONWERKE GESMBH & CO. KG ,,Quergasse 26 ,,8720 Knittelfeld ,,,knittelfeld@ebenseer.at ,
KG EBENSEER BETONWERKE GESMBH & CO. KG ,,,,An der Brünner Straße 136 ,E +43 50 8108-738 ,,,
EBENSEER BETONWERKE GESMBH & CO. KG ,,Untersbergstraße 52 ,,4820 Bad Ischl ,,,office@ebenseer.at ,
EBENSEER BETONWERKE GESMBH & CO. KG ,,Breitenaich 52 ,,8413 Ragnitz ,,,st.martin@ebenseer.at ,
EISL JOHANN GESELLSCHAFT M.B.H. ,,Haiden 26 ,,8430 Tillmitsch Leibnitz ,,,info@eisl-baumarkt.at ,
FRÜHWALD BAUSTOFFWERKE GESMBH & CO. KG ,,Badendorf 12 ,,4694 Ohlsdorf ,,,badendorf@fruehwald.co.at ,
FRÜHWALD BAUSTOFFWERKE GESMBH & CO. KG ,,Römerweg 3 ,,8026 Graz-Eggenberg ,,,office@fruehwald.co.at ,
GMUNDNER FERTIGTEILE GESMBH & CO. KG ,,Unterthalhamstr. 1 ,,2201 Gerasdorf ,,,gf.bodan@gmundner-ft.at ,
KAMMEL GESMBH BETONWERK ,Gewerbestraße 162 ,8232 Grafendorf ,,6210 Wiesing ,,,,www.kammel.eu 
KARO BETONELEMENTE GMBH ,Garnei 133 ,5431 Kuchl ,,6123 Terfens-Vomperbach ,,,,www.karo-gmbh.at 
KATZENBERGER BAUSTOFFINDUSTRIE GMBH ,,Reininghausstraße 29 ,,4063 Hörsching ,,,verkauf@katzenberger.at ,
KATZENBERGER H. GESMBH BETON - U. FERTIGTEILWERKE ,,Weinbergstraße 4 ,,CHNER GMBH & CO. KG ,,,vertrieb@katzenberger.com ,
KATZENBERGER BETON - UND FERTIGTEILE GMBH & CO. KG ,,Rotholzerweg 49 ,,Greiner Straße 63 ,,,office@katzenberger.co.at ,
LANG HANS ING. GESMBH BETON - U. BAUSTOFFWERKE ,,Alte Landstraße 44 ,,Rinnmühle 1 ,,,ffice@langbau.at ,
LEIER MICHAEL KG ,St. Andräerstraße ,7132 Frauenkirchen ,,5591 Ramingstein ,,,,www.leier.at 
LEIER MICHAEL KG ,Johannesgasse 46 ,7312 Horitschon ,,Bahnhofstr. 8 ,,,,www.leier.at 
LEITL BAUFERTIGTEIL GMBH ,Leimhof 2 ,5144 Handenberg ,,4563 Micheldorf ,,,,www.leitl.at 
LEITL BETON GESMBH & CO. WERK HÖRSCHING ,,Bahnhofstraße 20 ,,6511 Zams ,,,office@leitl.at ,
MABA 1KG HABA BETON JOHANN BARTLE- ,,,,HANDELSGMBH ,,,,T. +43 2783 4138 
HABAU HOCH - U.TIEFBAUGESELLSCHAFT M.B.H. ,,,,Postfach 154 ,,F. +43 7262 555-1500 ,,
HEHENBERGER BAUGESELLSCHAFT GMBH & CO. KG ,,,,F. +43 662 854057 ,,F. +43 7287 7213-30 ,,
ISO-SPAN BAUSTOFFWERK GESELLSCHAFT M.B.H. ,,Madling 177 ,,7210 Mattersburg ,,,nfo@isospan.at ,
JOSEF LEHNER BAUMEISTER ,Südlandstrasse 1 ,3300 Amstetten ,,4882 Oberwang ,,,,www.lehner-beton.at 
KAMIN - U. BETONWERK ROHR OBERMAIR-RIESENEDER GMBH & CO. KG ,,,,6460 Imst ,,F. +43 7258 2203-20 ,,
FERTIGTEILINDUSTRIE GMBH ,Feuerwerkanstalt ,2752 Wöllersdorf ,,3454 Sitzenberg-Reidling ,,,,www.maba.at 
MABA FERTIGTEILINDUSTRIE GMBH ,,Flugplatzstraße 3 ,,8720 Knittelfeld ,,,office@maba.at ,
GOIDINGER W. DIPL.-ING. BETONWAREN GESMBH ,,Hinterfeldweg 10 ,,An der Brünner Straße 136 ,,,info-bau@goidinger.at ,
BAU- 1U. KAMINERZEUGUNGS - ,,,,4820 Bad Ischl ,,,,T. +43 7252 77711-0 
LANG HANS ING. GESMBH BETON - UND BAUSTOFFWERKE MABA TRACK SOLUTIONS GMBH ,,,,8413 Ragnitz ,,F. +43 57715 470-474 ,,
OBERNDORFER FRANZ GMBH & CO. ,Lambacherstr. 14 ,4623 Gunskirchen ,,8430 Tillmitsch Leibnitz ,,,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,St. Pöltner Str. 117 ,3130 Herzogenburg ,,4694 Ohlsdorf ,,,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Richtstraße 44 ,9500 Villach ,,8026 Graz-Eggenberg ,,,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Klagenfurter Straße 44 ,9100 Völkermarkt ,,2201 Gerasdorf ,,,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Römerstraße 49 ,2752 Wöllersdorf ,,6210 Wiesing ,,,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Wiener Straße 662 ,3571 Gars am Kamp ,,6123 Terfens-Vomperbach ,,,,www.oberndorfer.at 
OBERNDORFER FRANZ GMBH & CO. ,Hainfeld 57 ,8263 Großwilfersdorf ,,4063 Hörsching ,,,,www.oberndorfer.at 
BENISCH & SOHN BETONWERK ,5072 Salzburg-Siezenheim ,T. +43 662 850712 ,,CHNER GMBH & CO. KG ,,,,T. +43 662 850712 
BETONWERK KOCH GESELLSCHAFT M.B.H. ,,Marzer Straße 5 ,,Greiner Straße 63 ,,,office@koch-beton.at ,
BG - GRASPOINTER GMBH & CO. ENTWÄSSERUNGSSYSTEME ,,Gessenschwandt 39 ,,Rinnmühle 1 ,,,office@graspointner.at ,
BWO BETONSTEINWERK OBERLAND GESMBH ,,Fabrikstraße 46 ,,5591 Ramingstein ,,,,C. BERGMANN BETONWERK 
EBENSEER BETONWERKE GESMBH & CO. KG ,,Bahnhofstraße 7 ,,Bahnhofstr. 8 ,,,reidling@ebenseer.at ,
EBENSEER BETONWERKE GESMBH & CO. KG ,,Quergasse 26 ,,4563 Micheldorf ,,,knittelfeld@ebenseer.at ,
KG EBENSEER BETONWERKE GESMBH & CO. KG ,,,,4770 Andorf ,,F. +43 50 8108-738 ,,
EBENSEER BETONWERKE GESMBH & CO. KG ,,Untersbergstraße 52 ,,Steyrer Straße 39a ,,,office@ebenseer.at ,
EBENSEER BETONWERKE GESMBH & CO. KG ,,Breitenaich 52 ,,"Stangersdorf 10, Top 12 ",,,st.martin@ebenseer.at ,
EISL JOHANN GESELLSCHAFT M.B.H. ,,Haiden 26 ,,2601 Sollenau ,,,info@eisl-baumarkt.at ,
FRÜHWALD BAUSTOFFWERKE GESMBH & CO. KG ,,Badendorf 12 ,,8430 Tillmitsch Leibnitz ,,,badendorf@fruehwald.co.at ,
FRÜHWALD BAUSTOFFWERKE GESMBH & CO. KG ,,Römerweg 3 ,,6250 Radfeld ,,,office@fruehwald.co.at ,
GMUNDNER FERTIGTEILE GESMBH & CO. KG ,,Unterthalhamstr. 1 ,,2620 Neunkirchen ,,,gf.bodan@gmundner-ft.at ,
KAMMEL GESMBH BETONWERK ,Gewerbestraße 162 ,8232 Grafendorf ,,Ybbsstraße 66 ,,,,www.kammel.eu 
KARO BETONELEMENTE GMBH ,Garnei 133 ,5431 Kuchl ,,1050 Wien ,,,,www.karo-gmbh.at 
KATZENBERGER BAUSTOFFINDUSTRIE GMBH ,,Reininghausstraße 29 ,,Reisnerstraße 53 ,,,verkauf@katzenberger.at ,
